"Part";"Value";"Device";"Package";"Description";"";
"C1";"100uF/10V";"CPOL-EUE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, European symbol";"";
"C2";"200uF/25V";"CPOL-EUE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, European symbol";"";
"C3";"100nF/10V";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";
"C4";"100n/25V";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";
"D1";"1N4148DO35-10";"1N4148DO35-10";"DO35-10";"DIODE";"";
"DISP1";"DISPLAY-OLED-128X64NO-HOLES";"DISPLAY-OLED-128X64NO-HOLES";"DISPLAY-OLED-128X64-NO-HOLES";"128x64 Dot Matrix OLED Module";"";
"DISP2";"DISPLAY-OLED-128X32";"DISPLAY-OLED-128X32";"DISPLAY-OLED-128X32";"128x32 Dot Matrix OLED Module with I2C interface based on SSD1306 chip";"";
"DISP3";"DISPLAY-OLED-128X64-I2CNO-HOLES";"DISPLAY-OLED-128X64-I2CNO-HOLES";"DISPLAY-OLED-128X64-I2C-NO-HOLES";"OLED 0.96" 128x64 I2C Display";"";
"H1";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"MOUNTING HOLE with drill center marker";"";
"H2";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"MOUNTING HOLE with drill center marker";"";
"H3";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"MOUNTING HOLE with drill center marker";"";
"H4";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"MOUNTING HOLE with drill center marker";"";
"IC1";"ESP12E_DEVKITNO-HOLES";"ESP12E_DEVKITNO-HOLES";"ESP12E_DEVKIT-NO-HOLES";"ESP12E DEVKIT BOARD";"";
"IC2";"RFM12B/69CW";"RFM12B/69CW";"RFM12B/69CW";"";"";
"IC3";"7805TV";"7805TV";"TO220V";"Positive VOLTAGE REGULATOR";"";
"JP1";"";"PINHD-1X1";"1X01";"PIN HEADER";"";
"JP2";"FAN_OUTPUT";"PINHD-1X4";"1X04";"PIN HEADER";"";
"JP3";"FAN_PWR_INPUT";"PINHD-1X2";"1X02";"PIN HEADER";"";
"JP4";"";"PINHD-1X1";"1X01";"PIN HEADER";"";
"Q1";"IRF510";"IRF510";"TO220";"N-Channel Enhancement MOSFET (HEXFET); 100V; 5,6A; 0,54Ohm";"";
"R1";"4k7";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R2";"4k7";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R3";"4k7";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R4";"4k7";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"SJ1";"";"SJ2W";"SJ_2";"SMD solder JUMPER";"";
"SJ2";"";"SJ2W";"SJ_2";"SMD solder JUMPER";"";
"SJ3";"";"SJ2W";"SJ_2";"SMD solder JUMPER";"";
"SJ4";"";"SJ2W";"SJ_2";"SMD solder JUMPER";"";
